Run Date,Action,Symbol,Quantity,Price ($),Commission ($),Fees ($),Accrued Interest ($),Amount ($),Settlement Date
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,59.99,,,,-59.99,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,60.00,,,,-60.00,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,60.00,,,,-60.00,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,60.00,,,,-60.00,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,60.00,,,,-60.00,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,60.00,,,,-60.00,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,60.00,,,,-60.00,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,60.00,,,,-60.00,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,60.00,,,,-60.00,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,60.01,,,,-60.01,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,60.01,,,,-60.01,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,60.01,,,,-60.01,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,60.01,,,,-60.01,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,60.01,,,,-60.01,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,60.01,,,,-60.01,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,60.01,,,,-60.01,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,60.01,,,,-60.01,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,60.01,,,,-60.01,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,60.02,,,,-60.02,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,60.02,,,,-60.02,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,60.02,,,,-60.02,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,60.02,,,,-60.02,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,60.02,,,,-60.02,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,60.02,,,,-60.02,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,60.02,,,,-60.02,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,60.02,,,,-60.02,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,60.02,,,,-60.02,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,60.02,,,,-60.02,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,60.03,,,,-60.03,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,60.03,,,,-60.03,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,60.03,,,,-60.03,3/13/2024
 03/11/2024,  BOUGHT(SPLG) (Cash), SPLG,1,60.03,,,,-60.03,3/13/2024
